sku;name;manufacturer;unit;item_type;tracking_type;model_name;description;location;location_type;address;on_hand_quantity;reserved_quantity;customer_name;reserved_until;contract_number
RTR-CISCO-4331;Маршрутизатор Cisco ISR 4331;Cisco;шт.;equipment;serial;ISR 4331;Маршрутизатор для узлов связи заказчиков;Основной склад;warehouse;Москва, склад 1;6;1;ООО Север-Телеком;2026-08-31;Д-2026-014
RTR-CISCO-4331;Маршрутизатор Cisco ISR 4331;Cisco;шт.;equipment;serial;ISR 4331;Маршрутизатор для узлов связи заказчиков;Лаборатория;lab;Москва, лаборатория диагностики;2;0;;;
SW-CISCO-2960X;Коммутатор Cisco Catalyst 2960X;Cisco;шт.;equipment;serial;Catalyst 2960X;Коммутатор доступа 24 порта;Основной склад;warehouse;Москва, склад 1;5;2;АО МедиаСеть;2026-07-15;Д-2026-018
SW-CISCO-2960X;Коммутатор Cisco Catalyst 2960X;Cisco;шт.;equipment;serial;Catalyst 2960X;Коммутатор доступа 24 порта;Зона выдачи;site;Москва, офис обслуживания;1;0;;;
SRV-HPE-DL380;Сервер HPE ProLiant DL380 Gen10;HPE;шт.;equipment;serial;ProLiant DL380 Gen10;Сервер для замены на площадках заказчика;Основной склад;warehouse;Москва, склад 1;3;1;ООО ДатаЦентр Плюс;2026-09-30;Д-2026-031
SFP-10G-SR;SFP+ модуль 10G SR;Finisar;шт.;spare_part;quantity;SFP+;Оптический модуль для коротких линий;Основной склад;warehouse;Москва, склад 1;48;6;ООО Север-Телеком;2026-08-31;Д-2026-014
SFP-10G-LR;SFP+ модуль 10G LR;Cisco;шт.;spare_part;quantity;SFP+;Оптический модуль для длинных линий;Основной склад;warehouse;Москва, склад 1;14;0;;;
RTR-CISCO-4331-PSU;Блок питания Cisco ISR 4331;Cisco;шт.;spare_part;quantity;ISR 4331;Горячезаменяемый блок питания;Основной склад;warehouse;Москва, склад 1;10;1;АО МедиаСеть;2026-07-15;Д-2026-018
RTR-CISCO-4331-FAN;Вентиляторный модуль Cisco ISR 4331;Cisco;шт.;spare_part;quantity;ISR 4331;Запасной вентилятор для маршрутизатора;Основной склад;warehouse;Москва, склад 1;12;2;ООО Север-Телеком;2026-08-31;Д-2026-014
PATCH-LC-LC-3M;Патч-корд LC-LC 3 м;Hyperline;шт.;accessory;quantity;Оптика;Дуплексный оптический патч-корд;Зона выдачи;site;Москва, офис обслуживания;30;0;;;
SSD-960GB-SAS;SSD накопитель 960GB SAS;HPE;шт.;spare_part;quantity;ProLiant DL380;Серверный SSD диск;Лаборатория;lab;Москва, лаборатория диагностики;8;1;Лаборатория диагностики;2026-06-30;ВН-ЛАБ-022
TOOL-CRIMP-RJ45;Кримпер RJ-45;Rexant;шт.;tool;quantity;Инструмент;Инструмент для обжима витой пары;Автомобиль инженера;vehicle;Экипаж 2;4;0;;;
